通用码,数据模式,最优方法,是否V6新增方法,最优区间(周),移动平均MASE,智能方法MASE,MASE提升(%),移动平均总量误差,智能方法总量误差,总量误差提升(%)
CJ1040341459,stable,naive_drift,是,13,0.8696,0.1118,87.14,28.0,3.6,87.14
CJ1040341460,intermittent,sba,否,17,1.9192,0.1299,93.23,19.0,1.29,93.23
CJ1040341526,stable,optimized_des,否,26,0.873,0.0018,99.79,11.0,0.02,99.79
CJ1040341536,intermittent,winsorized,是,15,1.1111,0.625,43.75,2.0,1.12,43.75
CJ1040341538,stable,seasonal_naive,否,13,0.7664,0.1095,85.71,21.0,3.0,85.71
CJ1040341628,stable,seasonal_naive,否,13,0.9524,0.4762,50.0,4.0,2.0,50.0
CJ1040760105,intermittent,ma_3,否,13,0.3176,0.2196,30.86,54.0,37.33,30.86
CJ1040760108,intermittent,interval_based,否,15,1.3898,0.7754,44.21,41.0,22.88,44.21
CJ1040760154,intermittent,winsorized,是,15,2.7778,1.3889,50.0,5.0,2.5,50.0
CJ1040760172,intermittent,winsorized,是,13,0.1664,0.1106,33.55,19.0,12.62,33.55
CJ1111051073,lumpy,croston,是,14,1.4098,0.3511,75.1,150.0,37.36,75.1
CJ1111051075,intermittent,theta,是,15,0.678,0.0723,89.34,80.0,8.53,89.34
CJ1111051123,intermittent,theta,是,13,0.6383,0.0556,91.28,18.0,1.57,91.28
CJ1111051141,lumpy,winsorized,是,13,0.2322,0.0382,83.57,35.0,5.75,83.57
CJ1111051217,seasonal,median_5,否,14,1.0084,0.0,100.0,24.0,0.0,100.0
CJ1111051221,seasonal,theta,是,16,0.2,0.2,0.0,10.0,10.0,0.0
CJ1111051228,intermittent,adida,是,21,2.943,0.8828,70.0,191.0,57.29,70.0
CJ1111100030,intermittent,median_5,否,15,0.4194,0.0,100.0,13.0,0.0,100.0
CJ1111220109,seasonal,theta,是,14,0.7184,0.2966,58.71,50.0,20.64,58.71
CJ1111220110,intermittent,theta,是,15,0.8671,0.1679,80.63,30.0,5.81,80.63
CJ1212030698,intermittent,weighted_ma_5,是,23,0.0935,0.0623,33.33,10.0,6.67,33.33
CJ1212030818,sparse,winsorized,是,25,0.4065,0.0085,97.92,30.0,0.62,97.92
CJ1212031226,seasonal,optimized_hw,是,20,0.9091,0.1454,84.0,20.0,3.2,84.0
CJ1212031361,intermittent,tsb_opt,否,14,0.3846,0.0107,97.23,15.0,0.42,97.23
CJ1212031372,intermittent,adida,是,26,0.5,0.4005,19.91,13.0,10.41,19.91
CJ1212031378,intermittent,sba,否,13,1.1952,0.668,44.11,60.0,33.53,44.11
CJ1212031399,intermittent,interval_based,否,13,0.1915,0.021,89.03,18.0,1.97,89.03
CJ1212031529,sparse,tsb_opt,否,13,0.1136,0.0349,69.31,5.0,1.53,69.31
CJ1212031552,intermittent,sba,否,18,0.5155,0.217,57.9,20.0,8.42,57.9
CJ1212031895,lumpy,ma_5,否,24,0.1429,0.1429,0.0,5.0,5.0,0.0
CJ1212031913,seasonal,seasonal_naive,否,25,0.8442,0.0,100.0,65.0,0.0,100.0
CJ1212031940,sparse,median_5,否,20,0.4271,0.0,100.0,17.0,0.0,100.0
CJ1212031949,intermittent,winsorized,是,13,0.2047,0.0402,80.36,7.0,1.38,80.36
CJ1212031968,intermittent,winsorized,是,13,0.6522,0.0543,91.67,15.0,1.25,91.67
CJ1212031981,intermittent,median_5,否,16,0.6061,0.0,100.0,20.0,0.0,100.0
CJ1212031988,seasonal,optimized_ses,否,17,0.036,0.0174,51.64,1.0,0.48,51.64
CJ1212031995,intermittent,median_5,否,20,0.2963,0.0741,75.0,20.0,5.0,75.0
CJ1212031997,sparse,tsb_opt,否,13,0.3731,0.3212,13.92,15.0,12.91,13.92
CJ1212032036,trending,theta,是,26,0.0734,0.0018,97.59,30.0,0.72,97.59
CJ1212032040,sparse,ma_5,否,15,0.0,0.0,0.0,0.0,0.0,0.0
CJ1212032064,intermittent,median_5,否,22,0.2786,0.0619,77.78,9.0,2.0,77.78
CJ1212032078,erratic,tsb_opt,否,13,0.2622,0.1548,40.98,45.0,26.56,40.98
