通用码,数据模式,V6方法,V6.1方法,V6_MASE,V6.1_MASE,V6总量误差,V6.1总量误差,优胜者
CJ4141671001,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141671002,trending,optimized_des,optimized_des,0.0346,0.0346,0.18,0.18,V6.1
CJ4141671005,all_zero,ma_3,ma_3,1.0714,1.0714,6.0,6.0,V6
CJ4141671012,seasonal,optimized_hw,optimized_hw,0.0,0.0,0.0,0.0,持平
CJ4141671013,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141671014,intermittent,weighted_ma_5,weighted_ma_5,0.0,0.0,0.0,0.0,持平
CJ4141671018,all_zero,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141671021,intermittent,interval_based,interval_based,0.0228,0.0228,0.67,0.67,V6
CJ4141671022,intermittent,optimized_ses,optimized_ses,0.0425,0.0425,1.27,1.27,V6
CJ4141671025,intermittent,adida,adida,0.141,0.141,6.27,6.27,V6
CJ4141671047,sparse,interval_based,interval_based,0.6671,0.6671,24.95,24.95,V6
CJ4141671048,all_zero,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ4141671049,sparse,interval_based,interval_based,4.3704,4.3704,7.87,7.87,V6.1
CJ4141671056,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141671072,intermittent,naive_drift,naive_drift,0.0,0.0,0.0,0.0,持平
CJ4141671127,all_zero,optimized_ses,optimized_ses,3.3177,3.3177,3.65,3.65,V6.1
CJ4141760055,intermittent,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ4141760096,stable,seasonal_naive,seasonal_naive,0.0,0.0,0.0,0.0,持平
CJ4141760097,seasonal,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ4141760098,seasonal,optimized_hw,optimized_hw,0.0394,0.0394,0.13,0.13,V6.1
CJ4141760101,intermittent,interval_based,interval_based,0.1882,0.1882,13.55,13.55,V6
CJ4141760135,intermittent,interval_based,interval_based,0.0978,0.0978,29.99,29.99,V6.1
CJ4141760136,intermittent,interval_based,interval_based,0.1263,0.1263,0.45,0.45,V6
CJ4141820036,seasonal,ma_3,ma_3,0.0369,0.0369,3.33,3.33,V6.1
CJ4141820055,intermittent,median_5,median_5,0.289,0.289,5.0,5.0,V6
CJ4142110047,intermittent,optimized_ses,optimized_ses,0.0566,0.0566,0.95,0.95,V6
CJ4142110054,intermittent,naive_drift,naive_drift,0.1818,0.1818,4.0,4.0,V6
CJ4142430082,seasonal,median_5,median_5,0.0267,0.0267,1.0,1.0,V6
CJ4142430104,intermittent,tsb_opt,tsb_opt,0.0321,0.0321,2.4,2.4,V6.1
CJ4142430113,stable,interval_based,interval_based,0.0011,0.0011,0.18,0.18,V6
CJ4142430127,seasonal,theta,theta,0.0,0.0,0.0,0.0,持平
CJ4142430154,lumpy,ma_5,ma_5,0.1002,0.1002,6.0,6.0,V6.1
CJ4142430200,intermittent,naive_drift,naive_drift,0.8667,0.8667,13.0,13.0,V6.1
CJ4142430230,seasonal,ma_5,ma_5,0.536,0.536,29.0,29.0,V6
CJ4142430239,intermittent,croston,croston,0.0591,0.0591,1.59,1.59,V6
