通用码,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
CJ1010006627,0,28,10,15,10,15,30,18,10,50,10,40,5,0,17,40,10,0,10,5,35,2,20,20,38,0,50,20,0,20,40,10,0,5,10,20,0,10,45,0,20,0,10,0,20,0,0,0,0,0,0,20,0,0,0,12
CJ1010006631,0,1,0,0,0,17,20,0,0,0,0,0,22,0,0,0,0,0,10,15,5,20,0,7,0,3,0,0,30,0,0,0,10,0,0,0,0,0,0,50,0,0,10,0,0,0,0,0,0,0,0,0,0,10,10,0
CJ1010006642,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,5,0,30,0,10,0,0,0,0,0,0,0,0,30,0,10,0,15,0,10,0,20,0,0,0,0,0,30,0,0,10,0,0,50,0,0
CJ1010006645,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,10,0,10,0,0,10,10,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,10,0,10,0,0,10,0,0
CJ1010006741,0,0,0,0,0,0,0,25,30,0,20,45,20,0,60,70,60,0,65,60,45,0,0,70,160,90,20,40,50,90,40,50,110,40,0,40,60,20,50,40,90,20,100,100,60,0,60,60,20,80,2,0,0,77,45,40
CJ1010006743,0,73,58,5,20,80,35,40,50,40,51,80,49,60,40,30,10,0,10,80,80,90,80,80,30,50,80,80,70,40,10,70,80,77,45,8,100,0,80,84,15,100,20,0,20,70,40,0,55,20,20,20,0,70,40,0
CJ1010006751,40,20,25,84,0,0,2,25,20,20,5,0,30,21,20,20,5,0,20,20,0,0,0,20,0,20,20,0,0,20,0,0,45,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0
CJ1010006896,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,200,40,235,40,55,190,240,0,0,90,140,60,40,120,50,150,85,70,95,0,110,110,100,130,50,50,130,120,80,50,60,105,90
CJ1010006909,0,40,0,20,10,0,20,20,0,30,0,0,0,0,20,0,0,0,20,0,20,0,0,30,0,20,0,10,0,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ1010006926,0,20,0,0,0,0,0,30,0,5,0,0,20,0,0,0,20,0,20,20,0,0,25,0,0,0,20,0,0,0,10,0,20,20,0,10,0,30,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,10,20
CJ1010006958,3,5,0,0,0,3,5,0,0,0,0,0,0,0,0,0,30,0,12,0,20,5,5,20,0,0,0,0,0,0,10,10,10,0,30,0,10,20,20,0,0,0,20,5,0,10,0,5,0,0,0,0,0,0,10,0
CJ1010007001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,15,5,0,0,0,5,5,0,10,10,0,0,0,0,0,5,10,0,10,0,0,5,0,15,0,5,22,0,6,5,10,0
CJ1010007035,0,1,0,0,0,0,0,15,40,10,0,0,10,0,0,0,0,5,5,20,10,5,5,15,5,5,20,5,20,0,0,5,0,0,10,3,35,20,0,0,0,9,20,30,40,28,0,0,0,40,20,0,0,10,30,5
CJ1010007063,0,5,8,4,0,4,0,0,0,0,0,4,2,0,0,0,4,0,0,4,0,0,0,12,0,0,0,0,4,0,0,8,16,0,0,4,0,0,12,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ1010007103,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,1,0,10,0,0,0,0,5,0,0,0,0,0,10,0,0,0,2,5,0,0,5,0,0,0,0,0,0,0
CJ1010007122,30,20,0,30,0,50,28,40,2,0,20,40,40,25,0,0,0,0,0,33,0,0,7,20,40,10,20,0,0,40,0,60,40,0,0,0,0,0,13,20,0,20,20,0,60,0,0,0,0,0,0,10,0,0,42,0
CJ1010007137,0,30,0,0,30,0,30,50,0,0,0,10,20,0,0,0,20,0,30,0,0,50,0,0,20,0,0,0,20,0,20,0,0,20,0,0,0,25,0,0,0,0,0,0,0,30,0,0,0,20,0,0,0,0,40,0
CJ1010007140,0,10,0,0,20,0,20,0,0,40,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0
CJ1010007156,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,7,0,5,0,5,0,0,0,0,0,0,0,0,0,0,2,5,0,6,0,0
CJ1010007191,0,50,5,0,0,0,0,0,3,12,0,10,0,10,10,0,0,0,5,10,0,0,0,5,0,0,5,0,10,10,0,0,0,10,0,0,0,10,0,0,0,20,0,0,0,0,0,0,0,13,0,0,0,0,3,0
CJ1010007210,10,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,5,0,5,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,10,0,0,0,0
CJ1010007222,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,5,0,2,1,0,0,1,0
